 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
7
#Number of plot points
500
#Number of Measures
12
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
i_avg,i_peak,p_avg,p_max,pdp,tp_avg,tp_cout_fall,tp_cout_rise,tp_max,tp_s7_fall,tp_s7_rise,vdd_actual,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-0.0001298049,-0.001894484,0.0001053893,0.003962427,1.188658e-13,8.443665e-10,8.57398e-10,8.73205e-10,8.73205e-10,8.361798e-10,8.106834e-10,0.8969475,-1.112321,-1.256435,-0.9703245
-0.0001297156,-0.001892853,0.0001056726,0.003968911,1.188862e-13,8.448142e-10,8.578969e-10,8.736236e-10,8.736236e-10,8.365829e-10,8.111536e-10,0.898265,-1.103063,-1.24656,-0.9616333
-0.0001294542,-0.001892246,0.0001057395,0.003970488,1.188873e-13,8.461631e-10,8.59433e-10,8.749045e-10,8.749045e-10,8.377305e-10,8.125847e-10,0.8985843,-1.093897,-1.236794,-0.9530227
-0.0001290535,-0.001889999,0.0001058449,0.003973254,1.189121e-13,8.473031e-10,8.606976e-10,8.760021e-10,8.760021e-10,8.387332e-10,8.137795e-10,0.8991471,-1.084823,-1.227132,-0.9444905
-0.0001289105,-0.001887563,0.00010649,0.003988168,1.18919e-13,8.478858e-10,8.613754e-10,8.765259e-10,8.765259e-10,8.392255e-10,8.144164e-10,0.9021707,-1.075837,-1.217573,-0.9360346
-0.0001285699,-0.001887513,0.000106505,0.003988754,1.189275e-13,8.491914e-10,8.62859e-10,8.77766e-10,8.77766e-10,8.40352e-10,8.157885e-10,0.9022921,-1.066938,-1.208113,-0.927653
-0.0001284728,-0.001887364,0.0001066741,0.003992613,1.189633e-13,8.49599e-10,8.632783e-10,8.781736e-10,8.781736e-10,8.407097e-10,8.162344e-10,0.9030748,-1.058122,-1.198749,-0.9193437
-0.0001278162,-0.001883609,0.0001067675,0.003994894,1.190074e-13,8.517647e-10,8.657442e-10,8.801995e-10,8.801995e-10,8.425871e-10,8.185281e-10,0.9035377,-1.049387,-1.189479,-0.9111049
-0.0001277772,-0.001882923,0.000106806,0.003996154,1.190686e-13,8.522416e-10,8.662988e-10,8.806588e-10,8.806588e-10,8.429891e-10,8.190198e-10,0.9037934,-1.040732,-1.1803,-0.9029348
-0.0001275118,-0.001881385,0.000106881,0.003997379,1.190913e-13,8.534558e-10,8.676834e-10,8.817986e-10,8.817986e-10,8.440294e-10,8.203116e-10,0.9040411,-1.032154,-1.17121,-0.8948316
-0.0001273933,-0.001880324,0.0001068813,0.003997587,1.193487e-13,8.540032e-10,8.683043e-10,8.823092e-10,8.823092e-10,8.445017e-10,8.208977e-10,0.9040836,-1.023651,-1.162206,-0.8867938
-0.0001270592,-0.001877888,0.0001069763,0.003999301,1.193979e-13,8.553615e-10,8.69817e-10,8.836187e-10,8.836187e-10,8.456842e-10,8.223261e-10,0.9044307,-1.015222,-1.153286,-0.8788197
-0.0001270015,-0.001877335,0.0001072088,0.004005298,1.194205e-13,8.55558e-10,8.700479e-10,8.837899e-10,8.837899e-10,8.458317e-10,8.225626e-10,0.9056448,-1.006864,-1.144448,-0.8709078
-0.0001267863,-0.001876515,0.0001073674,0.004008545,1.19464e-13,8.564501e-10,8.710441e-10,8.846377e-10,8.846377e-10,8.466236e-10,8.234948e-10,0.9063013,-0.9985763,-1.13569,-0.8630565
-0.0001266006,-0.001875497,0.0001074442,0.004010384,1.195312e-13,8.572486e-10,8.71964e-10,8.853795e-10,8.853795e-10,8.472948e-10,8.243562e-10,0.9066606,-0.9903563,-1.12701,-0.8552644
-0.000126551,-0.001874697,0.0001083481,0.004031362,1.195502e-13,8.574583e-10,8.721885e-10,8.856004e-10,8.856004e-10,8.474906e-10,8.245537e-10,0.9109147,-0.9822027,-1.118406,-0.8475301
-0.0001264879,-0.001871309,0.0001085224,0.004035359,1.195953e-13,8.577784e-10,8.725428e-10,8.85906e-10,8.85906e-10,8.477831e-10,8.248816e-10,0.9117307,-0.9741139,-1.109875,-0.8398524
-0.0001264216,-0.001870631,0.0001085756,0.004036524,1.196503e-13,8.580281e-10,8.728229e-10,8.861349e-10,8.861349e-10,8.4797e-10,8.251847e-10,0.9119561,-0.9660883,-1.101417,-0.8322298
-0.0001263615,-0.001870423,0.0001086747,0.00403785,1.196962e-13,8.583147e-10,8.731141e-10,8.864332e-10,8.864332e-10,8.482404e-10,8.254712e-10,0.9123267,-0.9581245,-1.093029,-0.8246611
-0.000126228,-0.001870369,0.000108906,0.004043638,1.197406e-13,8.58885e-10,8.737515e-10,8.869762e-10,8.869762e-10,8.487549e-10,8.260575e-10,0.9133914,-0.9502209,-1.08471,-0.8171451
-0.0001261371,-0.001869877,0.0001090031,0.004045257,1.197425e-13,8.593172e-10,8.742883e-10,8.873607e-10,8.873607e-10,8.490837e-10,8.265363e-10,0.9138936,-0.9423763,-1.076458,-0.8096806
-0.0001260981,-0.001869417,0.0001093373,0.004053826,1.197474e-13,8.594318e-10,8.743941e-10,8.874863e-10,8.874863e-10,8.492062e-10,8.266408e-10,0.9154431,-0.9345893,-1.068271,-0.8022665
-0.0001260612,-0.001869022,0.0001095357,0.0040587,1.197694e-13,8.596191e-10,8.746423e-10,8.876365e-10,8.876365e-10,8.493502e-10,8.268473e-10,0.9164257,-0.9268585,-1.060149,-0.7949017
-0.0001258596,-0.001868715,0.0001096577,0.004061228,1.197946e-13,8.605174e-10,8.756463e-10,8.884942e-10,8.884942e-10,8.501399e-10,8.277892e-10,0.9169341,-0.9191827,-1.052088,-0.787585
-0.0001257786,-0.001867025,0.0001096824,0.004061292,1.19811e-13,8.608964e-10,8.760841e-10,8.888535e-10,8.888535e-10,8.504491e-10,8.28199e-10,0.9170561,-0.9115607,-1.044089,-0.7803155
-0.0001256002,-0.001866987,0.0001096976,0.004062575,1.198944e-13,8.616701e-10,8.768919e-10,8.896143e-10,8.896143e-10,8.511683e-10,8.290061e-10,0.9172055,-0.9039913,-1.03615,-0.773092
-0.0001252682,-0.001865622,0.0001097736,0.004064148,1.199128e-13,8.631262e-10,8.78546e-10,8.909907e-10,8.909907e-10,8.524106e-10,8.305576e-10,0.9175223,-0.8964734,-1.028269,-0.7659138
-0.0001250331,-0.001865387,0.0001098411,0.004065562,1.199261e-13,8.64213e-10,8.797874e-10,8.920242e-10,8.920242e-10,8.533391e-10,8.317013e-10,0.9178065,-0.8890057,-1.020445,-0.7587797
-0.000124956,-0.001864032,0.0001098606,0.004065681,1.199338e-13,8.645902e-10,8.802257e-10,8.923629e-10,8.923629e-10,8.536631e-10,8.321091e-10,0.9178294,-0.8815873,-1.012676,-0.7516888
